dataset,split,seed,method,run_dir,interval_path,exists,size_bytes,sha1_fast,choices_cp_subdir,picked_component,choices_match
davis,cold_drug,0,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,74779,9859a810e89a40c3d6564e8fa2b1cd9ec825a6c2,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_drug,0,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/cp_local_autosel_target_k240_m50_gamma0_alpha0p1/pred_intervals_test.csv.gz,True,73579,83d1a01c1aa135788aa6e4d327d2a256bfc6caf8,,cp_local_autosel_target_k240_m50_gamma0_alpha0p1,
davis,cold_drug,0,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/cp_local_constrained_lcb_target_aacomp_k30_m50_gamma0p05_alpha0p02/pred_intervals_test.csv.gz,True,83976,be53bd948d8d960f4fa98e6f9651aa6b7eb06629,cp_local_autosel_target_k30_m50_gamma0p05_alpha0p02,cp_local_constrained_lcb_target_aacomp_k30_m50_gamma0p05_alpha0p02,False
davis,cold_drug,0,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,83976,dbc89737ab52a7b27c0a5e42309964a409640556,,cp_constrained_bonf_C17_delta0p05,
davis,cold_drug,0,TC-SC,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/pred_intervals_test_tc_sc.csv.gz,True,1113588,18061df9633a457b02eef6b882b156aea4b1a037,,pred_intervals_test_tc_sc.csv.gz,
davis,cold_drug,0,WSC-B,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/pred_intervals_test_wsc_B.csv.gz,True,1113540,30886f0cde2508dedc55baa22cb03d24a4d4af32,,pred_intervals_test_wsc_B.csv.gz,
davis,cold_drug,1,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,74898,4901676b829681f5b626835983c1c2bd73874937,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_drug,1,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1/cp_local_autosel_target_k240_m50_gamma0_alpha0p1/pred_intervals_test.csv.gz,True,73998,bb2e4c45521af4e5c43a7eb83df1c10f3ee91bbb,,cp_local_autosel_target_k240_m50_gamma0_alpha0p1,
davis,cold_drug,1,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1/cp_local_constrained_lcb_target_aacomp_k120_m50_gamma0_alpha0p02/pred_intervals_test.csv.gz,True,73511,95ab3b9d9285512064edda315f6ec7e14c1ffaa2,cp_local_autosel_target_k120_m50_gamma0_alpha0p02,cp_local_constrained_lcb_target_aacomp_k120_m50_gamma0_alpha0p02,False
davis,cold_drug,1,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,73511,19a8f886bf5e2fcf2bfd74706f48fcabdb3d4d14,,cp_constrained_bonf_C17_delta0p05,
davis,cold_drug,1,TC-SC,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1/pred_intervals_test_tc_sc.csv.gz,True,1113714,161a746c5b47e9937a31f418dc895cab9d0be5b0,,pred_intervals_test_tc_sc.csv.gz,
davis,cold_drug,1,WSC-B,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1/pred_intervals_test_wsc_B.csv.gz,True,1113676,684ed2bc58ecaa0aef063800d6050bbe48775a41,,pred_intervals_test_wsc_B.csv.gz,
davis,cold_drug,2,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,74681,b2b6808d9649fd36c15d7c04d611a21e9a3f897b,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_drug,2,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2/cp_local_autosel_target_k240_m50_gamma0_alpha0p1/pred_intervals_test.csv.gz,True,73978,626d5e900032b82913871ff26334466664aae553,,cp_local_autosel_target_k240_m50_gamma0_alpha0p1,
davis,cold_drug,2,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2/cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0_alpha0p02/pred_intervals_test.csv.gz,True,72639,17685390ea5167cc7cae148a65ece41a50174809,cp_local_autosel_target_k240_m50_gamma0_alpha0p02,cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0_alpha0p02,False
davis,cold_drug,2,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,72639,75f8f528c80d20e079a9791fd1a06a9b3b7957b7,,cp_constrained_bonf_C17_delta0p05,
davis,cold_drug,2,TC-SC,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2/pred_intervals_test_tc_sc.csv.gz,True,1113417,0ff0264bb7cc4bc08accbdc4ae99e64a030b73a6,,pred_intervals_test_tc_sc.csv.gz,
davis,cold_drug,2,WSC-B,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed2/pred_intervals_test_wsc_B.csv.gz,True,1113436,85819a5e5d7e08a81cd922afa8e6f17395bd95a5,,pred_intervals_test_wsc_B.csv.gz,
davis,cold_drug,3,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,73928,d7c1240453550af089fbf57db36ddb3daca5a37d,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_drug,3,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3/cp_local_autosel_target_k240_m50_gamma0_alpha0p1/pred_intervals_test.csv.gz,True,73088,a6e890063d9b8bbc05422d14726c6fe1ac0ac32f,,cp_local_autosel_target_k240_m50_gamma0_alpha0p1,
davis,cold_drug,3,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3/cp_local_constrained_lcb_target_aacomp_k120_m50_gamma0p1_alpha0p05/pred_intervals_test.csv.gz,True,83290,ee20de1508715beb22309ebd867052253c4ac515,cp_local_autosel_target_k120_m50_gamma0p1_alpha0p05,cp_local_constrained_lcb_target_aacomp_k120_m50_gamma0p1_alpha0p05,False
davis,cold_drug,3,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,83290,d965ba65892338b8037446ef8597da1c4c642748,,cp_constrained_bonf_C17_delta0p05,
davis,cold_drug,3,TC-SC,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3/pred_intervals_test_tc_sc.csv.gz,True,1111775,cfb047e1dd76d5cbef2476e6b6c3437fcde79202,,pred_intervals_test_tc_sc.csv.gz,
davis,cold_drug,3,WSC-B,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed3/pred_intervals_test_wsc_B.csv.gz,True,1112875,5d436727db94e4a1d6d6a288344e673b723b9c9b,,pred_intervals_test_wsc_B.csv.gz,
davis,cold_drug,4,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,73408,1f638bf471bb68230b830cbf2356758429fe4e65,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_drug,4,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4/cp_local_autosel_target_k240_m50_gamma0_alpha0p1/pred_intervals_test.csv.gz,True,72729,447b4e9aace9c0c15508f692cfdd47f7aa1ee9a6,,cp_local_autosel_target_k240_m50_gamma0_alpha0p1,
davis,cold_drug,4,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4/cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0p05_alpha0p05/pred_intervals_test.csv.gz,True,82860,85bf57aba0eec99d91fd5bb6d5191ec86ed39d7c,cp_local_autosel_target_k240_m50_gamma0p05_alpha0p02,cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0p05_alpha0p05,False
davis,cold_drug,4,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,82994,b1b7aedd7f5a34afc275e20231f1aab5529ceb3b,,cp_constrained_bonf_C17_delta0p05,
davis,cold_drug,4,TC-SC,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4/pred_intervals_test_tc_sc.csv.gz,True,1112569,e96b05cbbf2a019995da0204bc1bea5f7dd5fbe2,,pred_intervals_test_tc_sc.csv.gz,
davis,cold_drug,4,WSC-B,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed4/pred_intervals_test_wsc_B.csv.gz,True,1112154,2629a8d374737dbcbfad17c4ba7d108a84aa81f2,,pred_intervals_test_wsc_B.csv.gz,
davis,cold_pair,0,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,78013,c1ece4b816099425a64752f955b5bb4a1be7cd40,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_pair,0,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0/cp_local_autosel_target_k240_m50_gamma0_alpha0p1/pred_intervals_test.csv.gz,True,77901,e410deaf72980a5266cb1c453b61cc40a878fac6,,cp_local_autosel_target_k240_m50_gamma0_alpha0p1,
davis,cold_pair,0,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0/cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0_alpha0p05/pred_intervals_test.csv.gz,True,77720,76567b09bb77962fe4a621ff941b9f4db4ad3863,cp_local_autosel_target_k240_m50_gamma0_alpha0p05,cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0_alpha0p05,False
davis,cold_pair,0,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,77720,d046603e1a3e77e485f2497840cd63adad6a4ed2,,cp_constrained_bonf_C17_delta0p05,
davis,cold_pair,0,TC-SC,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0/pred_intervals_test_tc_sc.csv.gz,True,87557,374580a6801193af836bfde995347c05d8fb1c8b,,pred_intervals_test_tc_sc.csv.gz,
davis,cold_pair,0,WSC-B,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed0/pred_intervals_test_wsc_B.csv.gz,True,87622,60f3922f152ae3d95af69f3a059498d00f2a89e3,,pred_intervals_test_wsc_B.csv.gz,
davis,cold_pair,1,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,78533,ed95d7b836e1dd468b1bc737ab4ff7e7421fbe16,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_pair,1,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1/cp_local_autosel_target_k240_m50_gamma0p05_alpha0p1/pred_intervals_test.csv.gz,True,86535,01caaaced375c0be11d741d212bf44723af55567,,cp_local_autosel_target_k240_m50_gamma0p05_alpha0p1,
davis,cold_pair,1,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1/cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0p05_alpha0p1/pred_intervals_test.csv.gz,True,86535,5ce50a6924190c9df07fc5491c858bbef4ba535a,cp_local_autosel_target_k240_m50_gamma0_alpha0p1,cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0p05_alpha0p1,False
davis,cold_pair,1,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,86535,01caaaced375c0be11d741d212bf44723af55567,,cp_constrained_bonf_C17_delta0p05,
davis,cold_pair,1,TC-SC,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1/pred_intervals_test_tc_sc.csv.gz,True,87734,d13851e91f1d081b2120273abbed92ca27b4cf38,,pred_intervals_test_tc_sc.csv.gz,
davis,cold_pair,1,WSC-B,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed1/pred_intervals_test_wsc_B.csv.gz,True,87782,8296a45f2cca0f452f21d540535f25c785164b65,,pred_intervals_test_wsc_B.csv.gz,
davis,cold_pair,2,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,78304,ad92db50426489846a631806b55602af288b2bb1,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_pair,2,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2/cp_local_autosel_target_k120_m50_gamma0p05_alpha0p1/pred_intervals_test.csv.gz,True,86754,20b28ebb8f1b62ceaf8ceb951fed35ee7b30beaa,,cp_local_autosel_target_k120_m50_gamma0p05_alpha0p1,
davis,cold_pair,2,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2/cp_local_constrained_lcb_target_aacomp_k120_m50_gamma0_alpha0p05/pred_intervals_test.csv.gz,True,78150,de5783773cd9d99329c0b486587423fd07727e0d,cp_local_autosel_target_k120_m50_gamma0p05_alpha0p1,cp_local_constrained_lcb_target_aacomp_k120_m50_gamma0_alpha0p05,False
davis,cold_pair,2,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,78150,7ed26fe4b6b3c54db48be2e25899e9f7b7ce05da,,cp_constrained_bonf_C17_delta0p05,
davis,cold_pair,2,TC-SC,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2/pred_intervals_test_tc_sc.csv.gz,True,87937,8b24c49fe1dfc00b66f367c6cb38fe9fd00ff896,,pred_intervals_test_tc_sc.csv.gz,
davis,cold_pair,2,WSC-B,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed2/pred_intervals_test_wsc_B.csv.gz,True,87988,6a4fa9e1da967f34e063fb1963d299020e56f9b3,,pred_intervals_test_wsc_B.csv.gz,
davis,cold_pair,3,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,78439,62d275529a3c479e598ca68404be73f4ab8c0ea9,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_pair,3,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3/cp_local_autosel_target_k240_m50_gamma0p1_alpha0p1/pred_intervals_test.csv.gz,True,86552,0939807aafb36288da892ba815206e5cf87274f0,,cp_local_autosel_target_k240_m50_gamma0p1_alpha0p1,
davis,cold_pair,3,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3/cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0_alpha0p05/pred_intervals_test.csv.gz,True,77264,e8d0c5eb06a834c9f7b336a0c0797c78b09af223,cp_local_autosel_target_k240_m50_gamma0p1_alpha0p1,cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0_alpha0p05,False
davis,cold_pair,3,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,86552,0939807aafb36288da892ba815206e5cf87274f0,,cp_constrained_bonf_C17_delta0p05,
davis,cold_pair,3,TC-SC,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3/pred_intervals_test_tc_sc.csv.gz,True,87832,d74f5334c90472609ba01ee54cbe7e8bcbea21fc,,pred_intervals_test_tc_sc.csv.gz,
davis,cold_pair,3,WSC-B,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed3/pred_intervals_test_wsc_B.csv.gz,True,87878,bf47b95f6239bb95f70d8d2edbdb83ebacc9fec5,,pred_intervals_test_wsc_B.csv.gz,
davis,cold_pair,4,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed4,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed4/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,78341,94da6ed2b34e6133e11cb057b820ae3ef72051e9,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_pair,4,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed4,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed4/cp_local_autosel_target_k240_m50_gamma0p05_alpha0p1/pred_intervals_test.csv.gz,True,86853,e31c844f88023a45f5adb6ca8d0b1fa1a158f02f,,cp_local_autosel_target_k240_m50_gamma0p05_alpha0p1,
davis,cold_pair,4,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed4,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed4/cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0p05_alpha0p1/pred_intervals_test.csv.gz,True,86853,6c58a45f1b658c41f56b946ac5f7e0a054528d41,cp_local_autosel_target_k240_m50_gamma0p05_alpha0p1,cp_local_constrained_lcb_target_aacomp_k240_m50_gamma0p05_alpha0p1,False
davis,cold_pair,4,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed4,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed4/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,77181,cae091cf30bd0e2b75f67398ff8e23e3596cba02,,cp_constrained_bonf_C17_delta0p05,
davis,cold_pair,4,TC-SC,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed4,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_pair_seed4/pred_intervals_test_tc_sc.csv.gz,True,88008,e3fe4279cf444c0a8c28bb60c34240491adb0994,,pred_intervals_test_tc_sc.csv.gz,
